Date,Open,High,Low,Close,Adj Close,Volume
2017-06-20,27.950001,27.950001,27.950001,27.950001,25.492958,0
2017-06-21,27.860001,27.860001,27.860001,27.860001,25.410870,0
2017-06-22,27.870001,27.870001,27.870001,27.870001,25.419992,0
2017-06-23,27.940001,27.940001,27.940001,27.940001,25.483837,0
2017-06-26,28.020000,28.020000,28.020000,28.020000,25.556805,0
2017-06-27,27.830000,27.830000,27.830000,27.830000,25.383505,0
2017-06-28,28.049999,28.049999,28.049999,28.049999,25.584166,0
2017-06-29,27.850000,27.850000,27.850000,27.850000,25.401749,0
2017-06-30,27.930000,27.930000,27.930000,27.930000,25.474716,0
2017-07-03,28.059999,28.059999,28.059999,28.059999,25.593288,0
2017-07-05,28.000000,28.000000,28.000000,28.000000,25.538563,0
2017-07-06,27.700001,27.700001,27.700001,27.700001,25.264935,0
2017-07-07,27.879999,27.879999,27.879999,27.879999,25.429108,0
2017-07-10,27.879999,27.879999,27.879999,27.879999,25.429108,0
2017-07-11,27.850000,27.850000,27.850000,27.850000,25.401749,0
2017-07-12,28.059999,28.059999,28.059999,28.059999,25.593288,0
2017-07-13,28.129999,28.129999,28.129999,28.129999,25.657131,0
2017-07-14,28.260000,28.260000,28.260000,28.260000,25.775707,0
2017-07-17,28.299999,28.299999,28.299999,28.299999,25.812189,0
2017-07-18,28.240000,28.240000,28.240000,28.240000,25.757462,0
2017-07-19,28.430000,28.430000,28.430000,28.430000,25.930761,0
2017-07-20,28.410000,28.410000,28.410000,28.410000,25.912521,0
2017-07-21,28.430000,28.430000,28.430000,28.430000,25.930761,0
2017-07-24,28.379999,28.379999,28.379999,28.379999,25.885157,0
2017-07-25,28.510000,28.510000,28.510000,28.510000,26.003729,0
2017-07-26,28.450001,28.450001,28.450001,28.450001,25.949003,0
2017-07-27,28.420000,28.420000,28.420000,28.420000,25.921640,0
2017-07-28,28.389999,28.389999,28.389999,28.389999,25.894276,0
2017-07-31,28.370001,28.370001,28.370001,28.370001,25.876038,0
2017-08-01,28.410000,28.410000,28.410000,28.410000,25.912521,0
2017-08-02,28.320000,28.320000,28.320000,28.320000,25.830431,0
2017-08-03,28.250000,28.250000,28.250000,28.250000,25.766586,0
2017-08-04,28.299999,28.299999,28.299999,28.299999,25.812189,0
2017-08-07,28.330000,28.330000,28.330000,28.330000,25.839552,0
2017-08-08,28.250000,28.250000,28.250000,28.250000,25.766586,0
2017-08-09,28.209999,28.209999,28.209999,28.209999,25.730101,0
2017-08-10,27.799999,27.799999,27.799999,27.799999,25.356142,0
2017-08-11,27.820000,27.820000,27.820000,27.820000,25.374386,0
2017-08-14,28.080000,28.080000,28.080000,28.080000,25.611526,0
2017-08-15,28.020000,28.020000,28.020000,28.020000,25.556805,0
2017-08-16,28.090000,28.090000,28.090000,28.090000,25.620649,0
2017-08-17,27.660000,27.660000,27.660000,27.660000,25.228451,0
2017-08-18,27.600000,27.600000,27.600000,27.600000,25.173725,0
2017-08-21,27.629999,27.629999,27.629999,27.629999,25.201088,0
2017-08-22,27.889999,27.889999,27.889999,27.889999,25.438231,0
2017-08-23,27.799999,27.799999,27.799999,27.799999,25.356142,0
2017-08-24,27.770000,27.770000,27.770000,27.770000,25.328781,0
2017-08-25,27.860001,27.860001,27.860001,27.860001,25.410870,0
2017-08-28,27.830000,27.830000,27.830000,27.830000,25.383505,0
2017-08-29,27.809999,27.809999,27.809999,27.809999,25.365265,0
2017-08-30,27.940001,27.940001,27.940001,27.940001,25.483837,0
2017-08-31,28.100000,28.100000,28.100000,28.100000,25.629772,0
2017-09-01,28.209999,28.209999,28.209999,28.209999,25.730101,0
2017-09-05,28.010000,28.010000,28.010000,28.010000,25.547684,0
2017-09-06,28.110001,28.110001,28.110001,28.110001,25.638893,0
2017-09-07,28.100000,28.100000,28.100000,28.100000,25.629772,0
2017-09-08,28.120001,28.120001,28.120001,28.120001,25.648014,0
2017-09-11,28.420000,28.420000,28.420000,28.420000,25.921640,0
2017-09-12,28.520000,28.520000,28.520000,28.520000,26.012850,0
2017-09-13,28.520000,28.520000,28.520000,28.520000,26.012850,0
2017-09-14,28.510000,28.510000,28.510000,28.510000,26.003729,0
2017-09-15,28.570000,28.570000,28.570000,28.570000,26.058456,0
2017-09-18,28.610001,28.610001,28.610001,28.610001,26.094938,0
2017-09-19,28.580000,28.580000,28.580000,28.580000,26.067575,0
2017-09-20,28.620001,28.620001,28.620001,28.620001,26.104059,0
2017-09-21,28.559999,28.559999,28.559999,28.559999,26.049334,0
2017-09-22,28.629999,28.629999,28.629999,28.629999,26.113178,0
2017-09-25,28.660000,28.660000,28.660000,28.660000,26.140541,0
2017-09-26,28.690001,28.690001,28.690001,28.690001,26.167906,0
2017-09-27,28.799999,28.799999,28.799999,28.799999,26.268232,0
2017-09-28,28.820000,28.820000,28.820000,28.820000,26.286476,0
2017-09-29,28.920000,28.920000,28.920000,28.920000,26.377686,0
2017-10-02,29.040001,29.040001,29.040001,29.040001,26.487139,0
2017-10-03,29.090000,29.090000,29.090000,29.090000,26.532742,0
2017-10-04,29.160000,29.160000,29.160000,29.160000,26.596588,0
2017-10-05,29.270000,29.270000,29.270000,29.270000,26.696918,0
2017-10-06,29.209999,29.209999,29.209999,29.209999,26.642191,0
2017-10-09,29.110001,29.110001,29.110001,29.110001,26.550983,0
2017-10-10,29.180000,29.180000,29.180000,29.180000,26.614828,0
2017-10-11,29.190001,29.190001,29.190001,29.190001,26.623951,0
2017-10-12,29.190001,29.190001,29.190001,29.190001,26.623951,0
2017-10-13,29.219999,29.219999,29.219999,29.219999,26.651312,0
2017-10-16,29.230000,29.230000,29.230000,29.230000,26.660433,0
2017-10-17,29.230000,29.230000,29.230000,29.230000,26.660433,0
2017-10-18,29.250000,29.250000,29.250000,29.250000,26.678679,0
2017-10-19,29.290001,29.290001,29.290001,29.290001,26.715160,0
2017-10-20,29.490000,29.490000,29.490000,29.490000,26.897575,0
2017-10-23,29.379999,29.379999,29.379999,29.379999,26.797245,0
2017-10-24,29.410000,29.410000,29.410000,29.410000,26.824612,0
2017-10-25,29.209999,29.209999,29.209999,29.209999,26.642191,0
2017-10-26,29.280001,29.280001,29.280001,29.280001,26.706038,0
2017-10-27,29.320000,29.320000,29.320000,29.320000,26.742521,0
2017-10-30,29.180000,29.180000,29.180000,29.180000,26.614828,0
2017-10-31,29.230000,29.230000,29.230000,29.230000,26.660433,0
2017-11-01,29.240000,29.240000,29.240000,29.240000,26.669558,0
2017-11-02,29.230000,29.230000,29.230000,29.230000,26.660433,0
2017-11-03,29.280001,29.280001,29.280001,29.280001,26.706038,0
2017-11-06,29.400000,29.400000,29.400000,29.400000,26.815491,0
2017-11-07,29.350000,29.350000,29.350000,29.350000,26.769888,0
2017-11-08,29.389999,29.389999,29.389999,29.389999,26.806368,0
2017-11-09,29.320000,29.320000,29.320000,29.320000,26.742521,0
2017-11-10,29.320000,29.320000,29.320000,29.320000,26.742521,0
2017-11-13,29.379999,29.379999,29.379999,29.379999,26.797245,0
2017-11-14,29.360001,29.360001,29.360001,29.360001,26.779007,0
2017-11-15,29.200001,29.200001,29.200001,29.200001,26.633072,0
2017-11-16,29.450001,29.450001,29.450001,29.450001,26.861097,0
2017-11-17,29.500000,29.500000,29.500000,29.500000,26.906700,0
2017-11-20,29.549999,29.549999,29.549999,29.549999,26.952305,0
2017-11-21,29.650000,29.650000,29.650000,29.650000,27.043514,0
2017-11-22,29.639999,29.639999,29.639999,29.639999,27.034391,0
2017-11-24,29.670000,29.670000,29.670000,29.670000,27.061754,0
2017-11-27,29.629999,29.629999,29.629999,29.629999,27.025270,0
2017-11-28,29.969999,29.969999,29.969999,29.969999,27.335384,0
2017-11-29,30.110001,30.110001,30.110001,30.110001,27.463076,0
2017-11-30,30.350000,30.350000,30.350000,30.350000,27.681976,0
2017-12-01,30.280001,30.280001,30.280001,30.280001,27.618132,0
2017-12-04,30.350000,30.350000,30.350000,30.350000,27.681976,0
2017-12-05,30.150000,30.150000,30.150000,30.150000,27.499557,0
