Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,2.020000,2.020000,1.900000,1.950000,1.531090,78700
2015-07-02,2.050000,2.050000,1.970000,2.000000,1.570349,37700
2015-07-03,2.080000,2.090000,2.000000,2.090000,1.641015,17000
2015-07-06,2.000000,2.000000,1.910000,1.990000,1.562497,1100
2015-07-07,1.900000,1.970000,1.900000,1.970000,1.546794,3600
2015-07-08,1.900000,1.970000,1.900000,1.970000,1.546794,0
2015-07-09,1.990000,1.990000,1.990000,1.990000,1.562497,2700
2015-07-10,1.990000,1.990000,1.990000,1.990000,1.562497,0
2015-07-13,2.000000,2.000000,2.000000,2.000000,1.570349,1500
2015-07-14,2.000000,2.000000,2.000000,2.000000,1.570349,0
2015-07-15,2.000000,2.000000,2.000000,2.000000,1.570349,0
2015-07-16,1.990000,1.990000,1.900000,1.940000,1.523239,23500
2015-07-17,1.990000,1.990000,1.900000,1.970000,1.546794,6300
2015-07-20,1.990000,1.990000,1.900000,1.980000,1.554646,9800
2015-07-21,1.970000,1.970000,1.940000,1.940000,1.523239,6600
2015-07-22,1.940000,1.940000,1.750000,1.820000,1.429018,67500
2015-07-23,1.900000,1.900000,1.850000,1.900000,1.491832,46100
2015-07-24,1.890000,1.890000,1.750000,1.850000,1.452573,12000
2015-07-27,1.850000,1.850000,1.750000,1.750000,1.374055,5100
2015-07-28,1.790000,1.800000,1.790000,1.800000,1.413315,12500
2015-07-29,1.840000,1.840000,1.800000,1.830000,1.436869,6000
2015-07-30,1.810000,1.810000,1.800000,1.800000,1.413315,9400
2015-07-31,1.750000,1.800000,1.750000,1.800000,1.413315,17500
2015-08-04,1.790000,1.800000,1.790000,1.800000,1.413315,57600
2015-08-05,1.800000,1.800000,1.710000,1.740000,1.366204,28300
2015-08-06,1.660000,1.760000,1.650000,1.740000,1.366204,20000
2015-08-07,1.760000,1.760000,1.700000,1.750000,1.374055,11100
2015-08-10,1.750000,1.750000,1.750000,1.750000,1.374055,7000
2015-08-11,1.750000,1.750000,1.750000,1.750000,1.374055,7100
2015-08-12,1.730000,1.730000,1.690000,1.730000,1.358352,41500
2015-08-13,1.670000,1.750000,1.670000,1.750000,1.374055,4900
2015-08-14,1.750000,1.800000,1.700000,1.740000,1.366204,38300
2015-08-17,1.700000,1.750000,1.670000,1.750000,1.374055,19700
2015-08-18,1.780000,1.790000,1.730000,1.750000,1.374055,15000
2015-08-19,1.700000,1.750000,1.700000,1.750000,1.374055,6800
2015-08-20,1.700000,1.700000,1.600000,1.700000,1.334797,14500
2015-08-21,1.740000,1.750000,1.650000,1.650000,1.295538,64500
2015-08-24,1.800000,1.800000,1.800000,1.800000,1.413315,100
2015-08-25,1.750000,1.750000,1.650000,1.700000,1.334797,92000
2015-08-26,1.700000,1.700000,1.610000,1.700000,1.334797,9900
2015-08-27,1.720000,1.720000,1.700000,1.700000,1.334797,26900
2015-08-28,1.700000,1.750000,1.660000,1.740000,1.366204,74000
2015-08-31,1.790000,1.800000,1.720000,1.750000,1.374055,200500
2015-09-01,1.750000,1.750000,1.620000,1.700000,1.334797,174500
2015-09-02,1.750000,1.760000,1.700000,1.720000,1.350500,258800
2015-09-03,1.750000,1.850000,1.650000,1.650000,1.295538,130000
2015-09-04,1.670000,1.730000,1.670000,1.730000,1.358352,15300
2015-09-08,1.730000,1.730000,1.730000,1.730000,1.358352,0
2015-09-09,1.730000,1.750000,1.700000,1.720000,1.350500,915300
2015-09-10,1.750000,1.750000,1.700000,1.700000,1.334797,2523000
2015-09-11,1.690000,1.700000,1.680000,1.700000,1.334797,58500
2015-09-14,1.680000,1.700000,1.680000,1.700000,1.334797,25400
2015-09-15,1.700000,1.700000,1.640000,1.640000,1.287686,9700
2015-09-16,1.670000,1.680000,1.670000,1.680000,1.319093,49000
2015-09-17,1.640000,1.690000,1.610000,1.690000,1.326945,312500
